old_gene_symbol,new_gene_symbol,ensembl_gene_id
ACTR3B,ACTR3B,ENSG00000133627
ANLN,ANLN,ENSG00000011426
BAG1,BAG1,ENSG00000107262
BCL2,BCL2,ENSG00000171791
BIRC5,BIRC5,ENSG00000089685
BLVRA,BLVRA,ENSG00000106605
CCNB1,CCNB1,ENSG00000134057
CCNE1,CCNE1,ENSG00000105173
CDC20,CDC20,ENSG00000117399
CDC6,CDC6,ENSG00000094804
CDCA1,NUF2,ENSG00000143228
CDH3,CDH3,ENSG00000062038
CENPF,CENPF,ENSG00000117724
CEP55,CEP55,ENSG00000138180
CXXC5,CXXC5,ENSG00000171604
EGFR,EGFR,ENSG00000146648
ERBB2,ERBB2,ENSG00000141736
ESR1,ESR1,ENSG00000091831
EXO1,EXO1,ENSG00000174371
FGFR4,FGFR4,ENSG00000160867
FOXA1,FOXA1,ENSG00000129514
FOXC1,FOXC1,ENSG00000054598
GPR160,GPR160,ENSG00000173890
GRB7,GRB7,ENSG00000141738
KIF2C,KIF2C,ENSG00000142945
KNTC2,NDC80,ENSG00000080986
KRT14,KRT14,ENSG00000186847
KRT17,KRT17,ENSG00000128422
KRT5,KRT5,ENSG00000186081
MAPT,MAPT,ENSG00000186868
MDM2,MDM2,ENSG00000135679
MELK,MELK,ENSG00000165304
MIA,MIA,ENSG00000261857
MKI67,MKI67,ENSG00000148773
MLPH,MLPH,ENSG00000115648
MMP11,MMP11,ENSG00000099953
MYBL2,MYBL2,ENSG00000101057
MYC,MYC,ENSG00000136997
NAT1,NAT1,ENSG00000171428
ORC6L,ORC6,ENSG00000091651
PGR,PGR,ENSG00000082175
PHGDH,PHGDH,ENSG00000092621
PTTG1,PTTG1,ENSG00000164611
RRM2,RRM2,ENSG00000171848
SFRP1,SFRP1,ENSG00000104332
SLC39A6,SLC39A6,ENSG00000141424
TMEM45B,TMEM45B,ENSG00000151715
TYMS,TYMS,ENSG00000176890
UBE2C,UBE2C,ENSG00000175063
UBE2T,UBE2T,ENSG00000077152
